"ID","Generator","Status","Result Status","Proxy Role","Keep SR2","Has SR2","Highlight","Aqu_Ca","Aqu_Cl","Aqu_Mg","Aqu_Na","Aqu_SO4","Inj_CaComp","Inj_Cl","Inj_MgComp","Inj_NaComp","Inj_SO4Comp","InjectorStw","Tres","Inj_Temp","Oil_Recovery","Execution Node","Dataset Path","Optimal","Comment"
"56","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.53987392","3.8041295","0.21323801","0.7737366","0.00996398","0.0018513727","0.052749672","0.00032555","0.055044188","0.0017417652","278.9834","158.1","180","53.655045","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00056.dat","False",""
"57","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.79250923","7.29081","0.17202221","1.8741418","0.0042722954","0.0072230432","0.015741858","0.013915811","0.072397244","0.0025289088","318.8381","195.3","190","53.857769","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00057.dat","False",""
"58","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","4.5014656","0.21323801","2.4243444","0.0052209095","0.0027466511","0.00340592","0.001835579","0.081073772","0.0004298592","278.9834","186","170","60.792343","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00058.dat","False",""
"59","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","6.5934739","0.21323801","0.7737366","0.0042722954","0.0027466511","0.040413734","0.010895753","0.037691132","0.0012170028","199.274","158.1","220","53.225883","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00059.dat","False",""
"60","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","2.4094573","0.3781012","5.72556","0.0080667518","0.004537208","0.10209342","0.00032555","0.00298502","0.00279129","318.8381","139.5","150","54.228725","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00060.dat","False",""
"61","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","5.1988017","0.21323801","1.8741418","0.0090153659","0.004537208","0.10209342","0.009385724","0.00298502","0.00279129","292.2683","148.8","160","53.859245","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00061.dat","False",""
"62","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","2.4094573","0.25445381","5.1753574","0.0071181377","0.0072230432","0.06508561","0.00032555","0.055044188","0.0012170028","332.123","213.9","230","54.044231","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00062.dat","False",""
"63","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.37145038","7.29081","0.00715902","5.1753574","0.0033236813","0.004537208","0.00340592","0.003345608","0.037691132","0.0020041464","332.123","167.4","210","54.418159","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00063.dat","False",""
"64","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.62408569","7.29081","0.419317","2.4243444","0.0014264531","0.0027466511","0.040413734","0.010895753","0.072397244","0.0009546216","252.4136","139.5","190","57.81065","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00064.dat","False",""
"65","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.79250923","4.5014656","0.13080641","5.72556","0.0014264531","0.0063277648","0.00340592","0.01542584","0.063720716","0.0025289088","265.6985","213.9","220","53.389214","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00065.dat","False",""
"66","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.62408569","6.5934739","0.048374818","4.0749522","0.00996398","6.08159E-05","0.1267653","0.010895753","0.081073772","0.0009546216","305.5532","167.4","160","54.29285","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00066.dat","False",""
"67","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","1.7121212","0.048374818","5.1753574","0.000477839","0.0072230432","0.028077796","0.013915811","0.011661548","0.0025289088","265.6985","232.5","160","53.135132","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00067.dat","False",""
"68","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.62408569","5.8961378","0.25445381","5.72556","0.0071181377","0.0036419295","0.028077796","0.01542584","0.0897503","0.00279129","292.2683","148.8","220","54.268921","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00068.dat","False",""
